,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
324,2001,1,14,12,30,213,707,17,32.3702332085856,954.6162109375,0.8474352955818176,12:30:00
325,2001,1,14,13,30,209,693,17,31.780259827391205,953.7262573242188,0.6031824946403503,13:30:00
326,2001,1,14,14,30,320,138,17,30.99683117747497,953.0272216796876,0.5890438556671143,14:30:00
327,2001,1,14,15,30,169,557,17,29.876710755423407,952.9052734375,0.8257700800895691,15:30:00
328,2001,1,14,16,30,124,397,17,28.265107559488115,953.3060913085938,1.2701637744903564,16:30:00
329,2001,1,14,17,30,46,24,18,26.621535336251387,953.6336669921876,1.8688533306121824,17:30:00
330,2001,1,14,18,30,0,0,18,26.17424135537669,954.0548706054688,2.3074722290039062,18:30:00
342,2001,1,15,6,30,0,0,19,20.714966447996346,954.94873046875,2.038379907608032,06:30:00
343,2001,1,15,7,30,38,26,19,21.27441890059481,955.6470947265624,2.0800907611846924,07:30:00
344,2001,1,15,8,30,118,374,20,22.79641720892971,956.510498046875,2.251544952392578,08:30:00
345,2001,1,15,9,30,165,543,19,24.41497127677843,957.1220092773438,2.706723213195801,09:30:00
346,2001,1,15,10,30,193,637,19,26.08733677306537,956.729736328125,2.9532999992370605,10:30:00
347,2001,1,15,11,30,208,686,19,28.23718387859037,955.8787231445312,3.116727590560913,11:30:00
348,2001,1,15,12,30,213,702,19,29.615179791595835,954.971923828125,3.0919225215911865,12:30:00
349,2001,1,15,13,30,209,690,18,30.13673620661285,953.7070922851562,2.8503246307373047,13:30:00
350,2001,1,15,14,30,195,647,18,29.882528921115178,953.0333251953124,2.4128186702728267,14:30:00
351,2001,1,15,15,30,264,198,18,29.067982689737054,952.844482421875,1.826843023300171,15:30:00
352,2001,1,15,16,30,125,401,18,27.77847437999077,953.2674560546876,1.1136554479599,16:30:00
353,2001,1,15,17,30,48,28,21,25.78307079702654,953.64794921875,0.6459218263626099,17:30:00
354,2001,1,15,18,30,0,0,18,25.267334021123816,954.1494140625,1.21235454082489,18:30:00
366,2001,1,16,6,30,0,0,19,20.82728446334778,955.9451293945312,1.1616784334182741,06:30:00
367,2001,1,16,7,30,35,14,20,21.827511252192494,956.707763671875,1.0963681936264038,07:30:00
368,2001,1,16,8,30,138,297,20,24.430962790683342,957.2576904296876,1.270254611968994,08:30:00
369,2001,1,16,9,30,166,546,20,27.17393439641819,957.4805297851562,1.4017364978790283,09:30:00
370,2001,1,16,10,30,226,584,19,29.448261343657688,957.0146484375,1.4950594902038574,10:30:00
371,2001,1,16,11,30,209,692,19,31.18195515588002,956.0109252929688,1.495589017868042,11:30:00
372,2001,1,16,12,30,311,549,18,32.178782616434546,954.7305297851562,1.2797306776046753,12:30:00
373,2001,1,16,13,30,210,699,18,32.473874567206174,953.7157592773438,0.9100745320320128,13:30:00
374,2001,1,16,14,30,197,656,17,32.053437252639185,953.0059204101562,0.5569533109664917,14:30:00
375,2001,1,16,15,30,171,569,16,30.759962940938237,952.8028564453124,0.3638956546783447,15:30:00
376,2001,1,16,16,30,164,252,17,28.773800054012728,953.0099487304688,0.8853687644004822,16:30:00
377,2001,1,16,17,30,41,0,18,26.19086918863451,953.4557495117188,1.99048376083374,17:30:00
378,2001,1,16,18,30,0,0,18,25.329151423882077,954.3377075195312,2.8142375946044917,18:30:00
390,2001,1,17,6,30,0,0,18,19.943602704260453,957.1022338867188,2.074115037918091,06:30:00
391,2001,1,17,7,30,34,86,19,21.310261257124072,958.2971801757812,1.6835647821426392,07:30:00
392,2001,1,17,8,30,118,376,19,23.80482668640224,959.0047607421876,1.6170750856399536,08:30:00
393,2001,1,17,9,30,166,546,19,27.453077657902497,959.458740234375,1.78092360496521,09:30:00
394,2001,1,17,10,30,194,642,19,28.973276562036013,958.5072631835938,1.7215574979782104,10:30:00
395,2001,1,17,11,30,306,481,19,30.078022838598713,957.190673828125,1.4939991235733032,11:30:00
396,2001,1,17,12,30,297,591,18,30.64265582567913,956.2318725585938,1.175502061843872,12:30:00
397,2001,1,17,13,30,210,695,18,30.863576645159412,955.1692504882812,0.7767149209976196,13:30:00
398,2001,1,17,14,30,339,270,17,30.353772528967284,954.4777221679688,0.5376442074775696,14:30:00
399,2001,1,17,15,30,171,3,16,29.046709168113807,954.5440673828124,0.6941375732421875,15:30:00
400,2001,1,17,16,30,154,116,17,27.26107325335585,954.803466796875,1.3632168769836426,16:30:00
401,2001,1,17,17,30,36,0,17,25.26743380535913,955.4055786132812,2.1976253986358643,17:30:00
402,2001,1,17,18,30,0,0,17,24.352950062256355,955.7457885742188,2.790109395980835,18:30:00
414,2001,1,18,6,30,0,0,17,20.2343176910249,956.9260864257812,1.974825739860535,06:30:00
415,2001,1,18,7,30,34,87,17,21.358812794917927,957.690185546875,1.7129933834075928,07:30:00
416,2001,1,18,8,30,133,285,17,24.159618856344252,958.4486694335938,1.7524785995483398,08:30:00
417,2001,1,18,9,30,196,483,17,27.480525183376304,958.6800537109376,1.8249350786209104,09:30:00
418,2001,1,18,10,30,194,643,17,29.890169687282533,958.137451171875,1.4347163438796997,10:30:00
419,2001,1,18,11,30,209,692,17,31.006857849344613,957.3821411132812,1.0589640140533447,11:30:00
420,2001,1,18,12,30,214,708,17,31.08252065181182,956.4981689453124,0.8469812273979187,12:30:00
421,2001,1,18,13,30,210,695,16,30.740399581777467,955.27099609375,0.8800547122955322,13:30:00
422,2001,1,18,14,30,270,42,16,29.796047524040038,954.62109375,1.0644104480743408,14:30:00
423,2001,1,18,15,30,228,27,16,28.44898274488287,954.4451904296876,1.320890188217163,15:30:00
424,2001,1,18,16,30,60,0,17,27.21932084781139,954.7451171875,1.5345627069473269,16:30:00
425,2001,1,18,17,30,24,0,18,25.452757725724496,955.5096435546876,1.6914731264114382,17:30:00
426,2001,1,18,18,30,0,0,18,24.743531463758014,956.090576171875,1.7699136734008791,18:30:00
438,2001,1,19,6,30,0,0,16,19.32432247780088,956.8599243164062,1.6710236072540283,06:30:00
